Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
8/20/2015 16:00:00,98.79,8/20/2015 16:00:00,54.73,8/20/2015 16:00:00,74.57,8/20/2015 16:00:00,4.99,8/20/2015 16:00:00,70.32
8/21/2015 16:00:00,95.56,8/21/2015 16:00:00,53.94,8/21/2015 16:00:00,72.13,8/21/2015 16:00:00,4.75,8/21/2015 16:00:00,68.18
8/24/2015 16:00:00,92.82,8/24/2015 16:00:00,52.14,8/24/2015 16:00:00,68.72,8/24/2015 16:00:00,4.33,8/24/2015 16:00:00,65.8
8/25/2015 16:00:00,90.73,8/25/2015 16:00:00,51.82,8/25/2015 16:00:00,68.71,8/25/2015 16:00:00,4.29,8/25/2015 16:00:00,68.57
8/26/2015 16:00:00,95.11,8/26/2015 16:00:00,53.21,8/26/2015 16:00:00,72.5,8/26/2015 16:00:00,4.44,8/26/2015 16:00:00,68.66
8/27/2015 16:00:00,96.22,8/27/2015 16:00:00,53.71,8/27/2015 16:00:00,74.85,8/27/2015 16:00:00,5,8/27/2015 16:00:00,70.84
8/28/2015 16:00:00,95.17,8/28/2015 16:00:00,54.17,8/28/2015 16:00:00,75.07,8/28/2015 16:00:00,4.83,8/28/2015 16:00:00,70.07
8/31/2015 16:00:00,93.98,8/31/2015 16:00:00,53.58,8/31/2015 16:00:00,75.24,8/31/2015 16:00:00,4.95,8/31/2015 16:00:00,66.12
9/1/2015 16:00:00,92.09,9/1/2015 16:00:00,52.03,9/1/2015 16:00:00,72.08,9/1/2015 16:00:00,4.71,9/1/2015 16:00:00,64.83
9/2/2015 16:00:00,93.35,9/2/2015 16:00:00,53.13,9/2/2015 16:00:00,73.23,9/2/2015 16:00:00,4.83,9/2/2015 16:00:00,65.54
9/3/2015 16:00:00,92.64,9/3/2015 16:00:00,53.59,9/3/2015 16:00:00,73.79,9/3/2015 16:00:00,4.98,9/3/2015 16:00:00,66.47
9/4/2015 16:00:00,91.31,9/4/2015 16:00:00,52.38,9/4/2015 16:00:00,72.46,9/4/2015 16:00:00,4.73,9/4/2015 16:00:00,63.91
9/8/2015 16:00:00,93.94,9/8/2015 16:00:00,53.49,9/8/2015 16:00:00,73.5,9/8/2015 16:00:00,4.99,9/8/2015 16:00:00,60.91
9/9/2015 16:00:00,92.22,9/9/2015 16:00:00,53.02,9/9/2015 16:00:00,72,9/9/2015 16:00:00,4.99,9/9/2015 16:00:00,64.04
9/10/2015 16:00:00,92.72,9/10/2015 16:00:00,53.27,9/10/2015 16:00:00,72.52,9/10/2015 16:00:00,5.19,9/10/2015 16:00:00,63.83
